country_name,year,co2_emissions,male_death_rate,female_death_rate,cigarette_sales,land_area,GDP,population,gdp_norm,co2_norm
New Zealand,2009,31170.0000762939,28.85,20.98,3.099999904632568,263310.0,121374000000.0,4302600.0,28209.45474829173,0.11837757804980403
Poland,1960,199767.159,18.79,3.58,6.199999809265137,306130.0,65977749037.0,29637450.0,2226.1614625077395,0.6525566230032993
Poland,1961,207434.856,20.33,4.16,6.900000095367432,306130.0,65977749037.0,29964000.0,2201.9005819316512,0.6776038153725541
Poland,1962,216815.042,22.57,4.36,7.199999809265137,306130.0,65977749037.0,30308500.0,2176.872792681921,0.7082450004899878
Poland,1963,231219.018,25.71,4.36,7.099999904632568,306130.0,65977749037.0,30712000.0,2148.27263079578,0.7552968281449058
Poland,1964,243114.766,28.67,4.52,6.099999904632568,306130.0,65977749037.0,31139450.0,2118.7833772593926,0.7941553131022768
Poland,1965,247221.806,29.87,4.88,6.699999809265137,306130.0,65977749037.0,31444950.0,2098.198567242117,0.80757131284095
Poland,1966,252678.302,32.38,4.94,7.400000095367432,306130.0,65977749037.0,31681000.0,2082.565229538209,0.8253954267794728
Poland,1967,259282.569,34.51,5.07,7.099999904632568,306130.0,65977749037.0,31987155.0,2062.6326110277705,0.8469688335021069
Poland,1968,276073.762,36.95,5.56,7.599999904632568,306130.0,65977749037.0,32294655.0,2042.9928431500507,0.9018187110051284
Poland,1969,293653.36,36.7,5.61,8.0,306130.0,65977749037.0,32548300.0,2027.0720448379793,0.9592439813151276
Poland,1970,304441.674,38.98,5.32,8.0,306130.0,65977749037.0,32664300.0,2019.8733490997818,0.994484937771535
Poland,1971,313246.141,42.59,5.75,7.699999809265137,306130.0,65977749037.0,32783500.0,2012.5291392621289,1.0232454872113155
Poland,1972,329952.993,43.32,5.71,9.100000381469728,306130.0,65977749037.0,33055650.0,1995.9598143433875,1.0778198575768465
Poland,1973,336128.221,46.88,5.66,8.300000190734863,306130.0,65977749037.0,33357200.0,1977.9162830513353,1.0979917714696372
Poland,1974,346876.198,47.67,5.96,8.699999809265137,306130.0,65977749037.0,33678899.0,1959.0233349670962,1.1331009636428968
Poland,1975,375559.472,49.14,6.4,8.800000190734863,306130.0,65977749037.0,34015199.0,1939.6549476897078,1.2267973475320941
Poland,1976,399035.606,52.71,6.28,9.399999618530272,306130.0,65977749037.0,34356300.0,1920.3973954413018,1.3034841603240455
