,country_code,country_name,year,co2_emissions,merge_id,male_death_rate,female_death_rate,cigarette_sales,land_area,Code,Year,smoking_prevalence
165,BGR,Bulgaria,1964.0,42863.563,BGR_1964,39.13,8.79,4.5,108560.0,,,
166,BGR,Bulgaria,1965.0,46317.877,BGR_1965,40.87,7.38,3.900000095367432,108560.0,,,
167,BGR,Bulgaria,1966.0,48767.433,BGR_1966,41.47,7.38,5.099999904632568,108560.0,,,
168,BGR,Bulgaria,1967.0,55166.348,BGR_1967,39.17,7.77,3.400000095367432,108560.0,,,
169,BGR,Bulgaria,1968.0,59526.411,BGR_1968,39.59,7.29,4.699999809265137,108560.0,,,
170,BGR,Bulgaria,1969.0,66376.367,BGR_1969,38.74,7.07,6.300000190734863,108560.0,,,
171,BGR,Bulgaria,1970.0,61238.9,BGR_1970,36.54,6.66,4.099999904632568,108560.0,,,
172,BGR,Bulgaria,1971.0,64300.845,BGR_1971,40.42,6.45,5.099999904632568,108560.0,,,
173,BGR,Bulgaria,1972.0,66171.015,BGR_1972,39.2,7.11,5.300000190734863,108560.0,,,
174,BGR,Bulgaria,1973.0,68825.923,BGR_1973,41.12,7.19,5.5,108560.0,,,
175,BGR,Bulgaria,1974.0,71260.811,BGR_1974,39.46,7.07,6.699999809265137,108560.0,,,
176,BGR,Bulgaria,1975.0,73061.308,BGR_1975,37.8,6.42,5.300000190734863,108560.0,,,
177,BGR,Bulgaria,1976.0,73116.313,BGR_1976,38.63,6.56,5.599999904632568,108560.0,,,
178,BGR,Bulgaria,1977.0,75969.239,BGR_1977,38.85,6.95,6.699999809265137,108560.0,,,
179,BGR,Bulgaria,1978.0,81411.067,BGR_1978,37.91,6.07,5.599999904632568,108560.0,,,
180,BGR,Bulgaria,1979.0,79152.195,BGR_1979,39.82,7.11,5.599999904632568,108560.0,,,
181,BGR,Bulgaria,1980.0,77487.377,BGR_1980,36.63,6.39,5.199999809265137,108560.0,,,
182,BGR,Bulgaria,1981.0,80343.97,BGR_1981,40.07,6.44,5.099999904632568,108560.0,,,
183,BGR,Bulgaria,1982.0,90131.193,BGR_1982,41.52,5.86,5.099999904632568,108560.0,,,
184,BGR,Bulgaria,1983.0,90365.881,BGR_1983,43.21,6.99,5.699999809265137,108560.0,,,
185,BGR,Bulgaria,1984.0,87366.275,BGR_1984,43.23,7.5,6.300000190734863,108560.0,,,
186,BGR,Bulgaria,1985.0,89540.806,BGR_1985,41.39,7.61,6.599999904632568,108560.0,,,
187,BGR,Bulgaria,1986.0,91528.32,BGR_1986,42.9,7.12,7.099999904632568,108560.0,,,
188,BGR,Bulgaria,1987.0,91634.663,BGR_1987,44.06,7.3,6.199999809265137,108560.0,,,
189,BGR,Bulgaria,1988.0,87289.268,BGR_1988,43.14,6.95,5.300000190734863,108560.0,,,
190,BGR,Bulgaria,1989.0,86739.218,BGR_1989,44.39,6.68,5.400000095367432,108560.0,,,
191,BGR,Bulgaria,1990.0,73610.0,BGR_1990,43.45,6.44,4.699999809265137,108560.0,,,
192,BGR,Bulgaria,1991.0,58830.0,BGR_1991,42.77,7.64,6.0,108560.0,,,
193,BGR,Bulgaria,1992.0,55360.0,BGR_1992,46.04,7.09,7.099999904632568,108560.0,,,
194,BGR,Bulgaria,1993.0,55930.0,BGR_1993,45.65,7.55,7.5,108560.0,,,
195,BGR,Bulgaria,1994.0,53720.0,BGR_1994,46.79,7.46,6.0,108560.0,,,
196,BGR,Bulgaria,1995.0,54880.0,BGR_1995,45.83,7.98,6.400000095367432,108560.0,,,
197,BGR,Bulgaria,1996.0,55300.0,BGR_1996,45.28,7.63,7.599999904632568,108560.0,,,
198,BGR,Bulgaria,1997.0,52990.0,BGR_1997,43.61,6.86,7.400000095367432,108560.0,,,
199,BGR,Bulgaria,1998.0,50480.0,BGR_1998,41.8,7.11,7.199999809265137,108560.0,,,
200,BGR,Bulgaria,1999.0,44320.0,BGR_1999,43.0,7.58,7.599999904632568,108560.0,,,
201,BGR,Bulgaria,2000.0,43420.0,BGR_2000,40.38,7.19,7.599999904632568,108560.0,BGR,2000.0,47.5
202,BGR,Bulgaria,2001.0,46190.0,BGR_2001,40.88,7.03,7.800000190734863,108560.0,,,
203,BGR,Bulgaria,2002.0,43599.9984741211,BGR_2002,42.84,7.01,8.899999618530273,108560.0,,,
204,BGR,Bulgaria,2003.0,47930.0003051758,BGR_2003,44.29,6.95,10.0,108560.0,,,
205,BGR,Bulgaria,2004.0,47270.0004577637,BGR_2004,43.94,7.44,9.399999618530272,108560.0,,,
206,BGR,Bulgaria,2007.0,52599.9984741211,BGR_2007,47.37,8.45,8.100000381469727,108560.0,,,
207,BGR,Bulgaria,2008.0,50040.0009155273,BGR_2008,48.88,8.16,8.800000190734863,108560.0,,,
208,BGR,Bulgaria,2009.0,42909.9998474121,BGR_2009,45.65,8.07,8.300000190734863,108560.0,,,
209,BGR,Bulgaria,2010.0,44740.0016784668,BGR_2010,46.06,7.6,6.599999904632568,108560.0,BGR,2010.0,42.900001525878906
210,BGR,Bulgaria,2011.0,49639.9993896484,BGR_2011,45.16,8.85,5.699999809265137,108560.0,,,
211,BGR,Bulgaria,2012.0,45020.0004577637,BGR_2012,47.39,9.32,5.800000190734863,108560.0,,,
212,BGR,Bulgaria,2013.0,39659.9998474121,BGR_2013,48.02,8.69,6.0,108560.0,,,
213,BGR,Bulgaria,2014.0,42049.9992370605,BGR_2014,44.26,9.78,5.900000095367432,108560.0,,,
214,BLR,Belarus,1990.0,99830.0,BLR_1990,60.75,5.08,4.300000190734863,202980.0,,,
215,BLR,Belarus,1991.0,96220.0,BLR_1991,61.36,5.74,4.699999809265137,202980.0,,,
216,BLR,Belarus,1992.0,87990.0,BLR_1992,64.75,5.62,4.699999809265137,202980.0,,,
217,BLR,Belarus,1993.0,76420.0,BLR_1993,65.86,5.49,4.599999904632568,202980.0,,,
218,BLR,Belarus,1994.0,64810.0,BLR_1994,65.5,4.87,4.800000190734863,202980.0,,,
219,BLR,Belarus,1995.0,57640.0,BLR_1995,66.92,4.9,4.800000190734863,202980.0,,,
220,BLR,Belarus,1996.0,58650.0,BLR_1996,64.29,4.64,5.099999904632568,202980.0,,,
221,BLR,Belarus,1997.0,59170.0,BLR_1997,65.49,5.08,5.199999809265137,202980.0,,,
222,BLR,Belarus,1998.0,57260.0,BLR_1998,64.05,4.7,5.400000095367432,202980.0,,,
223,CAN,Canada,1960.0,192895.201,CAN_1960,27.94,3.99,9.800000190734863,8965590.0,,,
224,CAN,Canada,1961.0,194182.318,CAN_1961,29.41,4.36,10.19999980926514,8965590.0,,,
225,CAN,Canada,1962.0,207185.5,CAN_1962,31.24,5.03,10.5,8965590.0,,,
226,CAN,Canada,1963.0,211109.19,CAN_1963,33.46,4.78,10.5,8965590.0,,,
227,CAN,Canada,1964.0,237801.283,CAN_1964,34.03,5.16,10.39999961853027,8965590.0,,,
228,CAN,Canada,1965.0,252153.921,CAN_1965,35.25,5.61,10.69999980926514,8965590.0,,,
229,CAN,Canada,1966.0,259319.239,CAN_1966,37.06,5.79,10.80000019073486,8965590.0,,,
230,CAN,Canada,1967.0,281896.958,CAN_1967,40.8,6.33,10.60000038146973,8965590.0,,,
231,CAN,Canada,1968.0,303539.592,CAN_1968,41.22,6.64,10.30000019073486,8965590.0,,,
232,CAN,Canada,1969.0,307400.943,CAN_1969,42.88,6.66,10.10000038146973,8965590.0,,,
233,CAN,Canada,1970.0,341485.708,CAN_1970,45.26,7.14,10.5,8965590.0,,,
234,CAN,Canada,1971.0,352607.719,CAN_1971,46.95,7.29,10.5,8965590.0,,,
235,CAN,Canada,1972.0,381136.979,CAN_1972,48.31,8.7,10.60000038146973,8965590.0,,,
236,CAN,Canada,1973.0,381621.023,CAN_1973,50.26,9.27,10.80000019073486,8965590.0,,,
237,CAN,Canada,1974.0,389970.782,CAN_1974,52.67,9.99,10.69999980926514,8965590.0,,,
238,CAN,Canada,1975.0,397143.434,CAN_1975,52.25,10.34,10.60000038146973,8965590.0,,,
239,CAN,Canada,1976.0,399317.965,CAN_1976,54.54,10.74,10.89999961853027,8965590.0,,,
240,CAN,Canada,1977.0,408151.768,CAN_1977,55.66,11.9,10.69999980926514,8965590.0,,,
241,CAN,Canada,1978.0,415896.472,CAN_1978,57.12,12.7,10.39999961853027,8965590.0,,,
242,CAN,Canada,1979.0,442067.851,CAN_1979,58.57,13.88,10.5,8965590.0,,,
243,CAN,Canada,1980.0,443233.957,CAN_1980,60.14,14.5,10.30000019073486,8965590.0,,,
244,CAN,Canada,1981.0,430003.421,CAN_1981,58.98,15.26,10.30000019073486,8965590.0,,,
245,CAN,Canada,1982.0,414811.04,CAN_1982,63.67,16.89,10.39999961853027,8965590.0,,,
246,CAN,Canada,1983.0,408687.15,CAN_1983,62.69,16.78,9.699999809265137,8965590.0,,,
247,CAN,Canada,1984.0,425595.687,CAN_1984,64.17,18.63,9.600000381469728,8965590.0,,,
248,CAN,Canada,1985.0,422079.034,CAN_1985,62.19,20.01,9.100000381469728,8965590.0,,,
249,CAN,Canada,1986.0,405053.153,CAN_1986,63.59,20.36,8.699999809265137,8965590.0,,,
250,CAN,Canada,1987.0,431349.21,CAN_1987,63.33,21.55,8.300000190734863,8965590.0,,,
251,CAN,Canada,1988.0,456053.789,CAN_1988,65.38,22.56,8.0,8965590.0,,,
252,CAN,Canada,1989.0,463274.112,CAN_1989,65.45,22.67,7.300000190734863,8965590.0,,,
253,CAN,Canada,1990.0,419490.0,CAN_1990,64.42,23.17,7.0,8965590.0,,,
254,CAN,Canada,1991.0,413300.0,CAN_1991,63.0,24.61,6.300000190734863,8965590.0,,,
255,CAN,Canada,1992.0,426370.0,CAN_1992,60.81,24.44,6.400000095367432,8965590.0,,,
256,CAN,Canada,1993.0,422050.0,CAN_1993,60.54,25.79,6.0,8965590.0,,,
257,CAN,Canada,1994.0,436760.0,CAN_1994,58.45,25.9,6.599999904632568,8965590.0,,,
258,CAN,Canada,1995.0,448050.0,CAN_1995,56.19,25.23,5.900000095367432,8965590.0,,,
259,CAN,Canada,1996.0,461700.0,CAN_1996,56.46,27.38,6.199999809265137,8965590.0,,,
260,CAN,Canada,1997.0,476820.0,CAN_1997,54.07,26.11,5.800000190734863,8965590.0,,,
261,CAN,Canada,1998.0,484790.0,CAN_1998,54.27,27.87,5.800000190734863,8965590.0,,,
262,CAN,Canada,1999.0,494280.0,CAN_1999,54.37,27.97,5.699999809265137,8965590.0,,,
